Comparison,Gene,Virus_total_unaligned_to_PBS,Virus_total_pre_filter,Fraction_Unaligned
PAY42928_pass_combined_Virus_Treated_2_BMDM_vs_combined_PBS_BMDM,H2-Aa,8,133,0.0602
PAY42928_pass_combined_Virus_Treated_2_BMDM_vs_combined_PBS_BMDM,H2-Ab1,1,71,0.0141
PAY42928_pass_combined_Virus_Treated_2_BMDM_vs_combined_PBS_BMDM,H2-DMb1,5,141,0.0355
PAY42928_pass_combined_Virus_Treated_2_BMDM_vs_combined_PBS_BMDM,H2-Eb2,4,232,0.0172
PAY42928_pass_combined_Virus_Treated_2_BMDM_vs_combined_PBS_BMDM,H2-K1,8,186,0.043
PAY42928_pass_combined_Virus_Treated_2_BMDM_vs_combined_PBS_BMDM,Tap1,4,185,0.0216
PAY43290_combined_Virus_293T_vs_PAY39146_combined_PBS_293T,HLA-DQB2,6,81,0.0741
PAY43290_combined_Virus_293T_vs_PAY39146_combined_PBS_293T,HLA-DRA,2,52,0.0385
PAY43290_combined_Virus_293T_vs_PAY39146_combined_PBS_293T,HLA-DRB1,5,155,0.0323
PAY43290_combined_Virus_293T_vs_PAY39146_combined_PBS_293T,TAP1,1,88,0.0114
combined_EV_BMDM_vs_combined_PBS_BMDM,H2-Aa,5,135,0.037
combined_EV_BMDM_vs_combined_PBS_BMDM,H2-Ab1,8,108,0.0741
combined_EV_BMDM_vs_combined_PBS_BMDM,H2-DMb1,11,187,0.0588
combined_EV_BMDM_vs_combined_PBS_BMDM,H2-Eb2,17,304,0.0559
combined_EV_BMDM_vs_combined_PBS_BMDM,H2-K1,10,179,0.0559
combined_EV_BMDM_vs_combined_PBS_BMDM,Tap1,6,261,0.023
combined_Virus_Treated_1_BMDM_vs_combined_PBS_BMDM,H2-Aa,8,204,0.0392
combined_Virus_Treated_1_BMDM_vs_combined_PBS_BMDM,H2-Ab1,2,191,0.0105
combined_Virus_Treated_1_BMDM_vs_combined_PBS_BMDM,H2-DMb1,8,205,0.039
combined_Virus_Treated_1_BMDM_vs_combined_PBS_BMDM,H2-Eb2,12,300,0.04
combined_Virus_Treated_1_BMDM_vs_combined_PBS_BMDM,H2-K1,11,249,0.0442
combined_Virus_Treated_1_BMDM_vs_combined_PBS_BMDM,Tap1,7,236,0.0297
